readId	equalMatches
144:913|c7b4f9f4-a74b-4acc-b3cb-17d5b12ca7f2	1
166:928|d3fef88d-1b5e-4c37-bb70-053a79d7e697	1
129:902|6dc08e28-2d58-4a0f-92a9-56ed4c0a3448	1
129:673|28c84f1e-f8f3-4a50-9e37-681ecdca5b00	1
137:668|4568756e-4e25-4ad4-8dd1-7d076d2a29f1	1
134:697|6aeef506-ada4-47bf-9c99-9a2339cb9b6e	1
107:1389|ae0c35cb-2e2f-4675-aed5-0d21a61d6c5b	1
110:648|8516a1b0-1c5d-4994-8e7a-7b2efa44abad	1
128:650|2961e320-c712-4803-a936-eca8a097d6d1	1
137:1509|462716de-80b2-4476-8b8b-77d1bc6586ec	1
138:645|b4710b06-28ba-47a9-a22b-ef5c5598aca2	1
98:648|6df60dce-189c-467c-9787-97a9926feaa8	1
132:747|9ca34ed7-29e2-4033-a14a-1c5b199ff4a9	1
125:662|f1cdd266-a10e-4f1f-8a40-deed97eb9fcf	1
129:645|e2eb17a9-a9cc-43fc-8985-e1bd9328c53c	1
127:641|e0b8ea29-567f-4b82-b650-d3c4ac635636	1
139:1367|bcaa5a23-c6ca-40dc-8a5c-47c2502e3aba	1
137:653|7ec2fce2-101a-4381-bb69-21e8d80a1594	1
115:585|4a28a706-a0f4-48a5-a207-be71298abf17	1
135:775|1b2bd35c-effc-4e5d-bf36-dd260383c79c	2
134:642|d189558c-cb32-4774-a5a4-e4316c239342	1
115:648|9957bebd-8de1-4641-9f97-bf616a052624	1
130:634|a3dbe7a3-eedc-430b-9864-513b8a2f74b5	1
135:809|0cbdf817-2fff-4cce-a637-3558724f20d9	2
141:796|0fb45778-37c1-405a-bf7a-cf22da540674	2
133:705|a156afbd-2c05-4dbc-bdc9-e773643e00d6	1
138:703|8c76ccbe-1f82-4705-b5f0-c62bdedd676b	2
134:615|50321888-53d4-4888-80c8-f98f4b8651e6	1
134:636|2d1c30c0-51c0-48a6-803a-729609840b8b	1
141:652|2791ce41-7923-40b7-93b1-1bf8285f7679	1
129:651|ebff1c51-e270-4160-bbc6-95a34d9c8e51	1
134:647|67bdcd18-eb68-497f-82fa-59a80d25bda2	1
130:642|53c3e0d4-7de1-40f0-9311-7f3e4ea43095	1
141:660|af8fee40-1b62-41af-987c-57dbd73aa505	1
131:955|a08d6908-8305-4309-ad56-72b9a4df7596	2
124:649|63000234-ca63-42d9-ba14-ad69d5b1eca8	1
129:652|65b8994a-2203-43b9-bdd3-70a58cbe4499	1
133:850|212df7ad-95ad-4d55-bcb6-ec47739ebbf7	2
133:646|322a9f85-f0e7-4b98-b96b-9716fa0b2684	1
132:848|691c530e-bb41-48cd-8425-56f105fbdcdc	2
132:648|48067af3-1fc8-49d5-ac62-bafdb4a3c81e	1
135:639|f683d6d1-bf9d-43ae-9ebf-d7c27b2afd48	1
137:1324|e2f971cb-ec39-4afb-a902-984050d176bf	1
136:768|dde87197-e69d-4f76-bc0b-b58232cc8b67	1
129:686|ab38360a-919c-4f90-8608-502b3b863896	2
120:624|25680895-8c43-4db6-b3c2-df7c76dfae34	1
113:617|8ae6a40c-41ba-4bdf-be4e-2050d02f8046	1
113:636|e84634ee-393a-4587-833a-df426901d710	1
135:646|028c0eb6-f91c-4a4e-b21f-500985fb93c3	1
129:713|05192bcf-f6d4-41df-9a27-10d86970a035	1
138:735|bb02202b-7d00-47dd-bddf-4a14ebfc352c	2
129:844|b5fcf25b-991b-4f4a-9f4a-b6121fc22f95	1945
136:834|d27127ce-fd39-408d-95ac-d0e32a5b88c8	1945
129:835|34c8f6aa-ee08-4150-a8ed-881a07c5567d	1945
132:804|0d8ca177-606d-4469-a99d-df33c8fc5f4d	1945
106:799|4c1a747c-ef63-4aaf-ab8f-1daf5aba3189	1945
135:823|7ec151aa-8c95-42b3-a9f4-3861a59865f6	1945
131:835|4e07a376-e98e-4bc9-a5a9-5239439aff44	1945
128:884|87a8d0c2-09b5-45a9-b763-62ff1937c88a	5
115:875|c02e0bd1-2584-4a80-aac5-e20f5169f30a	5
129:799|ddf31404-3a0f-418b-81fd-55dee18e2b6f	5
133:775|163a94f3-2c0c-41ce-bf38-1d3f1f743b1a	5
145:767|2d3e1101-2d32-479e-b6e5-c81bbf3f0060	5
126:794|08ca2c17-3812-4a88-aac2-3c3bf2ad263e	5
138:797|920a1440-7a6c-47e4-a408-ae8cbe5ec9f9	5
129:751|b18fdf99-dcef-4a6a-9fcc-78036f168b89	5
130:731|40a69669-9aa1-493a-af61-db8c27cd5ef3	5
133:771|c06899d6-fcb7-46ae-a348-d77829a4fd4a	5
136:701|d1dd582d-dcb0-42a9-a463-813d57f89ef6	5
328:888|e3bc98f2-9d31-40f7-9b6f-3a6455527ffc	5
122:710|dc827f2d-3a88-4cb1-8333-8bda875302d3	5
131:811|9b54f022-5726-4268-9116-6318f4b9cd0b	5
132:776|d46fc561-a4ae-4f51-aa75-d1ad27ad2874	5
159:716|1471b955-88f4-46a0-9a12-c3a0c654b2ea	5
144:791|f24c2244-01ea-469b-a975-3747c36b8c01	5
115:723|aea4ac5f-3b2f-40d6-9547-4298ec26094f	5
136:807|9eb7c3a0-bedc-4d85-8369-7cde5f8d6005	5
144:808|5f1e1186-974a-4696-af4c-0dd5267873c9	5
134:741|3c9506b2-f761-4db2-870e-22854204fa71	5
136:799|be324e2c-738a-43b8-b927-c17a11d542ef	5
134:746|33e35a41-6fbe-418e-a247-fd42a2175f99	5
129:767|6eb0a6ab-5a12-45a3-9078-a21c82db8346	5
146:774|d9f4ad17-e743-4ae7-bbd4-bd9273ac9735	5
125:776|6b97401b-fb67-4d8c-9d3d-525f0b3f47cf	5
113:770|9cd44197-cb4a-42c8-b43f-60891d3797e6	5
126:723|4c9290e2-adb3-42d9-9fb5-80a9dd93cc7f	5
134:847|5f22b7f4-75ca-49ef-bf2d-991b6a8e2a04	5
133:791|e42b055e-56b2-49b3-98a9-9b9b979257f0	5
128:917|65193fb4-3ee1-4af6-8b9d-e108abcf81a3	5
140:751|edabfa6d-f695-4ed7-b2dd-afeb899e558b	5
135:865|3ebbf0e4-d9ef-490f-a5d0-9b6dc4e1ad05	5
125:765|4e711319-87cd-40dc-8f34-d09e125ef8c6	5
112:702|ca2c32c6-4286-4404-8818-6e1a214d0af3	5
142:753|f23dbdb4-2feb-45c0-b9f6-03b2b2ef03e9	5
139:720|471fbd7d-554a-4b83-bb9c-17581b8fbcf6	5
131:830|28b44a2f-7982-41b2-be5c-eab5404cc187	5
141:729|d436aafe-f04a-432e-9f77-56b64a071eed	5
137:765|811f4345-552d-428d-b6ee-36cbd5bd6b30	5
130:727|563807cc-0cf8-45b0-a276-3db097d8426d	5
124:727|4dbfbd8e-dfca-48f2-8048-521df78c8103	5
135:718|2e6ff7b2-f0ba-424d-bc42-fcbb5216fea2	5
126:717|463a0b5b-26d5-4886-9334-a65bc32f6d7d	5
129:801|552db9ca-b466-4bf0-8309-87b143b89438	5
146:737|d3285280-bbcd-4d78-992e-22f3ad6f466d	5
130:796|015b74c9-09d4-4d1f-ad0c-277f32d1f273	5
130:739|e4abf211-32c4-4338-8495-7fa8e6e8158a	5
125:726|6a85a092-4a77-47d9-afd6-8335c45b8264	5
130:844|5e110d65-c539-4dbc-9899-2bba9e3249cf	5
126:716|6a847ee6-9bda-43b1-8836-0d58080a627e	5
91:794|84ff01fc-a42b-4a45-bc41-a36a9bcb3259	5
129:769|78cf59d9-81cd-4547-976d-bb50fa916d3f	5
125:777|c943d929-5ec2-49d6-8634-6df8ca321cbd	5
144:823|d6262c1a-ae1c-4447-a175-5ecaa08cbb78	1946
127:773|9a987123-8013-4554-ac2f-16388786ce69	1946
124:766|750bdc84-b1d0-4174-b0c2-0d3db336ab03	1946
133:877|8ff335fb-550b-40f5-a7db-cec65191f0af	1946
131:751|60954078-1c07-434c-ad23-d8c6ee6e28a3	1946
143:831|1677aad7-8f4f-4fb3-9256-30ca8aedd032	1946
133:756|22b9f5fb-8b21-43a7-a8cc-ec319eacb771	1946
82:721|aa6d333d-8375-4ec4-8240-f2e2af2f3916	1946
138:428|bce64eab-297b-41cb-bef1-b98e7599a8a6	1946
136:433|04602ca3-fa4d-462f-bba6-3c57fe54ddf0	1946
126:465|ed0fcde1-857b-4a3a-ab3a-03252b2c76a7	1946
135:457|ee6eddef-3d89-4e91-96b7-a7cca94d8a20	1946
139:426|22d68369-e6e8-473a-9e3d-101d514a1f42	1946
129:488|30785c0b-cbf6-4a3b-b4c6-2a51a09b9e3b	1946
138:437|4003ca3c-9705-4e97-a395-296868697e90	1946
127:478|d6df6fba-5ead-4336-b073-9ccda168c00d	1946
132:464|a86d75a8-8a69-4e15-af3c-01fc10417e59	1946
118:464|7274d87d-9fb7-492c-aa10-35afc5ab15a6	1946
130:441|2b932898-e1e5-4ac6-aba2-eb488f797a21	1946
120:455|997e838c-5265-4a02-ace8-1679b81cd00b	1946
135:435|e3eb5d77-bd3f-4596-8618-0695079ce26c	1946
116:365|301b33cf-c92f-4c09-906e-ed7c32bcecea	1946
133:405|8966b094-e916-434c-944d-78e1b49c7d3a	1946
134:399|0704c8bc-7797-4178-924d-d3c8dbe7debe	1946
134:389|43ba6429-eff5-416b-adba-6161a17e7edf	1946
142:408|ffd99823-cd1a-4822-80e9-c874afd06610	1946
131:373|1ea70621-46e9-4f97-882c-84323a7205e0	1946
132:395|73e8d038-9cb9-4758-906e-95e50519140d	1946
135:416|f95a2855-e66a-4728-8dda-ccaa7dbbe29f	1946
130:386|ec97a4a1-f2d8-402c-b954-5356355daeca	1946
123:314|18354975-3afe-4999-a132-8d7b7b44b5ca	1946
127:328|4ac4bed7-a069-406b-aff4-086b0a11c153	1946
122:303|6785dde1-53cc-45b3-8153-4cf57dc4caed	1946
120:307|fd97ad60-4452-4205-81fa-b60d855b3595	1946
145:331|682a3561-50b4-4317-acc7-bb515d21b26d	1946
120:326|4edf733f-5880-4155-a512-c4ae3d4056ec	1946
125:333|a2e2b2d8-705e-41c9-8af7-53ea05f29c19	1946
131:517|6783efbc-86bf-4f61-8431-09d435f14d5c	6
135:584|a0fda0cb-f987-4ce5-a6bc-8b0b98d0b250	6
147:570|f1eee4dc-b0e6-454f-bf47-1ac7d72a8ede	6
130:539|528015b8-2e13-4485-b25b-2b4494df33ca	6
134:520|1920b90d-5c0e-474d-954c-4ba7ad2bd6f0	6
129:517|e629530e-2f11-43a0-aefd-2d6f428b9185	6
137:579|e735b448-8406-40e8-a98b-db2555b21fb0	6
134:496|0f0e7cee-a6a7-47dc-b38f-6a9d14734383	6
137:560|0311eb91-9038-42d0-9479-84fe654aee07	6
133:494|764e9270-9cbc-4305-b671-d200e4b15919	6
126:491|c4a3db15-a0d9-4104-a92e-86396d2d5734	6
129:501|79605346-2d3f-4127-9d00-529cac1b2aff	6
136:544|7343ce0f-76a9-44d8-a4f5-a97f605be39c	6
144:532|a5c9bab8-f53c-44a6-b40c-7b1ecffefdc1	6
135:522|0d4e9d48-d6b8-499d-8117-22778b56b763	6
134:567|5ee92dff-9405-416b-af86-c0c6e00bad63	6
112:544|950cae83-a228-454d-b3c2-0d2e3acdca97	6
133:547|5b164064-f9e9-44d4-beda-453deb5edd07	6
138:543|f6c460a2-d9a5-4974-b5a7-fc77848dc06f	6
138:527|a397bc5e-4fe0-4580-bb28-7a697d51da43	6
131:514|10f9ac16-0b67-4b47-bbc9-1f2f87f5e3b5	6
123:478|bf74dad1-ef5c-436d-ad69-3c11a392c585	6
130:484|2fdf713e-eb3f-4b13-95e7-7b8b6d5069c2	6
135:489|99bcbd02-e309-4df0-8617-d6a32bb78812	6
296:643|1d2a723b-38db-4ebe-9904-06c7c548e864	6
130:486|d82f61e0-a9df-4e68-89c6-9d27bfdb08e0	6
131:499|8259a8d4-0be5-4705-b81e-e0c03e498773	6
136:502|862dcaef-1bc7-449e-9cc8-896cfbe4cee5	6
126:511|f76b54f6-7c9a-4244-8553-47914667acd4	6
135:604|6805ab4d-3efe-4024-acbd-aa1ae0688654	6
106:454|4a51ddff-678b-4375-919b-c5c78fae4312	6
135:534|e2f21ad4-3f5d-4a46-bd95-8fe79fe20f4e	6
131:476|a679b53a-9fa2-4d8d-be81-964d3811bf12	6
411:781|c8aeb68a-4b4a-46dd-a04b-5e9f3d9f97f7	6
113:536|c5e94e44-02be-4bf7-9fd9-3dac3dffea26	6
106:477|d0c64d1d-503c-46e7-adb0-0eadb13f2df8	6
136:481|90351ff0-34f6-4ce2-aa84-12c127f94266	6
126:481|eb5283f8-38aa-47fc-b554-e2b12595f096	6
127:530|918f35fb-68e7-490c-9574-eaf39d1c55d3	6
126:505|0f80e35d-d008-412e-a4ef-a61ef2425566	6
130:487|90495bc6-4d87-4e99-8348-f05b76384e48	6
127:515|38d0c064-cc2f-4a71-a413-acaeb3ea5ee9	6
133:537|1fd54498-b1f0-4f4f-8909-8370ec382895	6
161:517|4adef645-06dd-4fa6-bd02-87ae68af1626	6
129:472|f3c696bb-caf2-4046-a23c-5852e6580ec3	6
132:528|e01e2881-c84e-4891-8044-7fe2378bfea1	6
131:481|b5f36949-6f8f-4c90-8334-54db56db9b82	6
131:475|3807b5fe-eeb6-4e1c-be41-dfbe2011d07b	6
124:494|5964ceaf-7c85-44d9-8290-4099e5e4aed4	6
132:487|90a28c5f-2791-4b34-a2e4-8007150be971	6
128:495|72fa11fa-605c-49d3-a25a-201ef1e3a520	6
130:454|0ed6b512-dd90-4199-b899-578d103ca146	6
125:514|cac110f9-c718-44ea-91ce-dce0309df77f	6
149:483|fd7bd1cc-8114-432a-9f98-36cef203ae04	6
140:458|9bcda614-3186-4bf3-9501-a11a2a7f520a	6
139:481|33918894-9634-4877-b871-5fdc056ce0eb	6
132:420|fecdc00f-1554-4d58-a6c1-26ecb8c8a117	6
136:500|7d433cac-2211-4eb4-9e09-fbb5f06b80e2	6
140:501|78a5941a-df99-46ce-9098-5c09172e0ca0	6
142:518|c5b9cf70-88e7-41d8-9d4b-d137247c3a3c	6
