readId	equalMatches
111:613|62307632-b0c5-444d-ade1-11d97956f6e8	1
122:623|a3a060ff-76a1-4f30-ac37-0d0d6a342cf8	1
139:652|2214cd4b-3c47-4df0-be6c-d112c3aa6771	1
136:645|e805247d-c750-45de-937b-cf860e4cb688	1
134:742|9338bca9-f3e3-4903-ab92-2098f98284a8	2
120:659|cd67ecfd-61a9-4023-8aea-2e5edffd68c8	1
124:637|bbd7dc09-e7ce-4a62-a717-dcc8d30db366	1
149:755|f748b89b-16aa-437a-916e-8472421d0270	2
139:679|f2808807-fbeb-401a-803e-2a0ec4de22b4	1
130:644|db6b347c-4806-442b-b0b7-019f825b2a90	1
129:648|0d9429c1-2f66-40bf-8f6d-bf205a7aeec5	1
118:714|7d109816-a503-4a05-836b-ac3e62fc79c9	2
128:648|0669f6e8-33d2-44e4-8c72-73939c068f2d	1
131:636|2a61d149-89d7-4714-a833-1847afbc9a0d	1
125:639|7992cb52-ae23-486c-99e9-69e20b41479c	1
139:684|2b401a49-3dd8-4ffe-9ac1-829a3e433241	1
131:730|d779344e-de39-4e5f-acff-d425c3179cc6	1945
122:695|5d1a7a17-aa07-48be-a1e3-f42fe1d05629	1945
140:299|b9e62d10-d24d-4dc5-8a6f-cfaf2901a5d2	1946
122:609|f7b99e3d-9cfd-42c9-9c8b-7992f68983b9	6
128:500|91acccc0-d624-45a5-93ea-c3790141e207	6
134:489|fed5a786-7c5f-494b-af0c-6498bfcedbee	6
136:561|4587bf2d-ad34-4c27-bdac-6f8fa6ef67ac	6
139:517|135dde60-c6e4-46c3-8b05-f9cd9dccfcc2	6
144:534|75794c18-225f-47fb-8264-d9fa21a42db4	6
142:565|1192288b-dcd4-4dc6-8fc0-fdb2a98477c3	6
135:456|90996f53-fc0b-44aa-8509-1e81380730b4	6
153:591|1a54d051-57fa-452b-8486-8851bae0c13a	6
121:617|30d05a8a-ce62-420d-a768-94c80c608fdf	6
140:532|fa488ee6-fba6-4d14-b50d-2323fd278735	6
139:487|24c726b1-3ad8-4cbc-a26e-230d4a504ad6	6
136:498|a3cf85df-1013-405f-938c-562ada4b4ce2	6
109:491|600994ea-1aa7-4132-ac74-f155e30e8f7d	6
121:499|0a5b59d8-e2f2-4113-87e9-45f80443d4f8	6
128:476|8e047f15-c933-483d-95b4-925f2d0c14a5	6
136:476|1ac607c4-6821-4c51-8260-a118b13df533	6
111:438|6313b010-c1f7-40c8-aaac-19a307f20e0d	6
