TXNAME	GENEID	tissue_site_detail	total_full_counts
BambuTx1	ENSG00000227232	Brain - Cerebellar Hemisphere	31.375091755569642
BambuTx1	ENSG00000227232	Brain - Frontal Cortex (BA9)	26.74092545192696
BambuTx1	ENSG00000227232	Brain - Putamen (basal ganglia)	9.62531056435876
BambuTx1	ENSG00000227232	Cells - Cultured fibroblasts	21.099900481742537
BambuTx1	ENSG00000227232	Heart - Atrial Appendage	16.89340533044361
BambuTx1	ENSG00000227232	Heart - Left Ventricle	3.873250962114941
BambuTx1	ENSG00000227232	Liver	8.134430156796567
BambuTx1	ENSG00000227232	Lung	42.2454728936838
BambuTx1	ENSG00000227232	Muscle - Skeletal	20.54118590444478
BambuTx10	BambuGene13311	Brain - Cerebellar Hemisphere	0
BambuTx10	BambuGene13311	Brain - Frontal Cortex (BA9)	8
BambuTx10	BambuGene13311	Brain - Putamen (basal ganglia)	9
BambuTx10	BambuGene13311	Cells - Cultured fibroblasts	0
BambuTx10	BambuGene13311	Heart - Atrial Appendage	0
BambuTx10	BambuGene13311	Heart - Left Ventricle	0
BambuTx10	BambuGene13311	Liver	0
BambuTx10	BambuGene13311	Lung	0
BambuTx10	BambuGene13311	Muscle - Skeletal	0
BambuTx100	ENSG00000215861	Brain - Cerebellar Hemisphere	136.04714024234667
BambuTx100	ENSG00000215861	Brain - Frontal Cortex (BA9)	90
BambuTx100	ENSG00000215861	Brain - Putamen (basal ganglia)	33.174368076308546
BambuTx100	ENSG00000215861	Cells - Cultured fibroblasts	377
BambuTx100	ENSG00000215861	Heart - Atrial Appendage	367
BambuTx100	ENSG00000215861	Heart - Left Ventricle	194
BambuTx100	ENSG00000215861	Liver	19
BambuTx100	ENSG00000215861	Lung	41.21923480914945
BambuTx100	ENSG00000215861	Muscle - Skeletal	736
BambuTx1000	ENSG00000269707	Brain - Cerebellar Hemisphere	2
BambuTx1000	ENSG00000269707	Brain - Frontal Cortex (BA9)	4
BambuTx1000	ENSG00000269707	Brain - Putamen (basal ganglia)	4
BambuTx1000	ENSG00000269707	Cells - Cultured fibroblasts	2
BambuTx1000	ENSG00000269707	Heart - Atrial Appendage	0
BambuTx1000	ENSG00000269707	Heart - Left Ventricle	0
BambuTx1000	ENSG00000269707	Liver	0
BambuTx1000	ENSG00000269707	Lung	0
BambuTx1000	ENSG00000269707	Muscle - Skeletal	0
BambuTx1001	BambuGene154465	Brain - Cerebellar Hemisphere	3
BambuTx1001	BambuGene154465	Brain - Frontal Cortex (BA9)	1
BambuTx1001	BambuGene154465	Brain - Putamen (basal ganglia)	3
BambuTx1001	BambuGene154465	Cells - Cultured fibroblasts	0
BambuTx1001	BambuGene154465	Heart - Atrial Appendage	0
BambuTx1001	BambuGene154465	Heart - Left Ventricle	0
BambuTx1001	BambuGene154465	Liver	0
BambuTx1001	BambuGene154465	Lung	0
BambuTx1001	BambuGene154465	Muscle - Skeletal	0
BambuTx1002	BambuGene154586	Brain - Cerebellar Hemisphere	2
BambuTx1002	BambuGene154586	Brain - Frontal Cortex (BA9)	2
BambuTx1002	BambuGene154586	Brain - Putamen (basal ganglia)	0
BambuTx1002	BambuGene154586	Cells - Cultured fibroblasts	0
BambuTx1002	BambuGene154586	Heart - Atrial Appendage	0
BambuTx1002	BambuGene154586	Heart - Left Ventricle	0
BambuTx1002	BambuGene154586	Liver	0
BambuTx1002	BambuGene154586	Lung	0
BambuTx1002	BambuGene154586	Muscle - Skeletal	0
BambuTx1003	ENSG00000144061	Brain - Cerebellar Hemisphere	2
BambuTx1003	ENSG00000144061	Brain - Frontal Cortex (BA9)	6
BambuTx1003	ENSG00000144061	Brain - Putamen (basal ganglia)	5
BambuTx1003	ENSG00000144061	Cells - Cultured fibroblasts	110
BambuTx1003	ENSG00000144061	Heart - Atrial Appendage	47
BambuTx1003	ENSG00000144061	Heart - Left Ventricle	22
BambuTx1003	ENSG00000144061	Liver	27
BambuTx1003	ENSG00000144061	Lung	84
BambuTx1003	ENSG00000144061	Muscle - Skeletal	301
BambuTx1004	BambuGene154689	Brain - Cerebellar Hemisphere	0
BambuTx1004	BambuGene154689	Brain - Frontal Cortex (BA9)	0
BambuTx1004	BambuGene154689	Brain - Putamen (basal ganglia)	0
BambuTx1004	BambuGene154689	Cells - Cultured fibroblasts	0
BambuTx1004	BambuGene154689	Heart - Atrial Appendage	0
BambuTx1004	BambuGene154689	Heart - Left Ventricle	0
BambuTx1004	BambuGene154689	Liver	0
BambuTx1004	BambuGene154689	Lung	0
BambuTx1004	BambuGene154689	Muscle - Skeletal	0
BambuTx1005	ENSG00000125611	Brain - Cerebellar Hemisphere	131
BambuTx1005	ENSG00000125611	Brain - Frontal Cortex (BA9)	114
BambuTx1005	ENSG00000125611	Brain - Putamen (basal ganglia)	94
BambuTx1005	ENSG00000125611	Cells - Cultured fibroblasts	19
BambuTx1005	ENSG00000125611	Heart - Atrial Appendage	179
BambuTx1005	ENSG00000125611	Heart - Left Ventricle	107
BambuTx1005	ENSG00000125611	Liver	2
BambuTx1005	ENSG00000125611	Lung	9
BambuTx1005	ENSG00000125611	Muscle - Skeletal	448
BambuTx1006	ENSG00000125611	Brain - Cerebellar Hemisphere	25
BambuTx1006	ENSG00000125611	Brain - Frontal Cortex (BA9)	11
BambuTx1006	ENSG00000125611	Brain - Putamen (basal ganglia)	8
BambuTx1006	ENSG00000125611	Cells - Cultured fibroblasts	14
BambuTx1006	ENSG00000125611	Heart - Atrial Appendage	9
BambuTx1006	ENSG00000125611	Heart - Left Ventricle	1
BambuTx1006	ENSG00000125611	Liver	5
BambuTx1006	ENSG00000125611	Lung	8
BambuTx1006	ENSG00000125611	Muscle - Skeletal	33
BambuTx1007	BambuGene144286	Brain - Cerebellar Hemisphere	0
BambuTx1007	BambuGene144286	Brain - Frontal Cortex (BA9)	0
