gene.37	tx.2	1:3161276-3161937
gene.41	tx.5	1:26430755-26432114
gene.43	tx.6	1:27390601-27392445
gene.3	tx.8	1:31155054-31155830
gene.53	tx.12	1:68366459-68384259
gene.9	tx.13	1:78023978-78025170
gene.13	tx.18	1:144716064-144758292
gene.21	tx.23	1:150629807-150635729
gene.21	tx.24	1:150629796-150635726
gene.26	tx.27	1:154726670-154727578
gene.28	tx.28	1:154868137-154871104
gene.60	tx.32	1:162450713-162488268
gene.62	tx.33	1:176521148-176552729
gene.66	tx.34	1:181447621-181482048
gene.32	tx.38	1:201095771-201098638
gene.79	tx.40	1:207129836-207321784
gene.82	tx.43	1:211257859-211259749
gene.82	tx.44	1:211257813-211258997
gene.85	tx.46	1:230801383-230807121
gene.34	tx.47	1:247273427-247286486
gene.34	tx.48	1:247273435-247286486
gene.114	tx.52	10:2059008-2059476
gene.87	tx.54	10:3276817-3282359
gene.92	tx.57	10:43648967-43649792
gene.94	tx.58	10:47743705-47755169
gene.99	tx.66	10:77636334-77637032
gene.103	tx.68	10:91552094-91557853
gene.120	tx.69	10:93745155-93757718
gene.109	tx.70	10:114304631-114326896
gene.132	tx.71	10:116472151-116473065
gene.134	tx.74	10:132722771-132737610
gene.160	tx.77	11:6385218-6390322
gene.165	tx.79	11:26991899-26994237
gene.144	tx.80	11:41222797-41242428
gene.171	tx.84	11:46333537-46335877
gene.173	tx.90	11:66290962-66291780
gene.146	tx.91	11:68005154-68006632
gene.181	tx.94	12:6698577-6723890
gene.202	tx.98	12:52005764-52006781
gene.204	tx.99	12:56103821-56104377
gene.206	tx.104	12:71671590-71686040
gene.186	tx.106	12:84986813-84992657
gene.212	tx.108	12:111031418-111035580
gene.195	tx.111	12:132956380-132983710
gene.236	tx.115	13:41546886-41549164
gene.238	tx.116	13:49204501-49247854
gene.260	tx.120	14:24066784-24072211
gene.263	tx.122	14:38207215-38209287
gene.250	tx.123	14:95943928-95948984
gene.267	tx.124	14:100018719-100019289
gene.252	tx.125	14:103912302-103915191
gene.254	tx.126	14:104656107-104657069
gene.254	tx.127	14:104656123-104657069
gene.256	tx.128	14:105301055-105307539
gene.282	tx.129	15:41493053-41494784
gene.278	tx.134	15:89496228-89497157
gene.300	tx.138	16:7432652-7442324
gene.288	tx.139	16:14486918-14488836
gene.302	tx.143	16:56661199-56663292
gene.292	tx.144	16:62036559-62130654
gene.306	tx.147	16:77007949-77108750
gene.314	tx.151	17:6238562-6241592
gene.319	tx.152	17:17752405-17754681
gene.327	tx.153	17:17775543-17783595
gene.332	tx.154	17:30663339-30687267
gene.336	tx.157	17:40120540-40121858
gene.323	tx.162	17:58513790-58517054
gene.359	tx.168	18:10448371-10455143
gene.347	tx.171	18:26547725-26555458
gene.353	tx.172	18:37566277-37566692
gene.369	tx.174	19:900811-902504
gene.390	tx.176	19:1443064-1447305
gene.371	tx.178	19:4584339-4586071
gene.371	tx.179	19:4584330-4586070
gene.374	tx.182	19:12720906-12722572
gene.402	tx.184	19:18122231-18123287
gene.406	tx.203	19:51592428-51594396
gene.386	tx.204	19:52008323-52022593
gene.410	tx.214	2:9565603-9573760
gene.413	tx.215	2:10030458-10038620
gene.417	tx.219	2:29063785-29088639
gene.454	tx.228	2:98172195-98175982
gene.454	tx.229	2:98172195-98176274
gene.459	tx.235	2:119281130-119282675
gene.426	tx.237	2:130597203-130598915
gene.465	tx.238	2:152649010-152649826
gene.432	tx.240	2:174799395-174847555
gene.434	tx.241	2:183037735-183039097
gene.467	tx.242	2:186456708-186486143
gene.471	tx.246	2:202552754-202555461
gene.436	tx.247	2:225112676-225113376
gene.489	tx.250	20:346266-347719
gene.482	tx.258	20:46406787-46444485
gene.485	tx.259	20:49459379-49463124
gene.501	tx.262	20:58691392-58692172
gene.503	tx.264	21:14383420-14393534
gene.503	tx.265	21:14383462-14393537
gene.506	tx.267	21:31160633-31165603
