seqname	strand	gene_id	transcript_id	start	end	exons	length_DNA_level	length_transcript_level	1_bp_thresh	5_bp_thresh	10_bp_thresh	20_bp_thresh	35_bp_thresh	50_bp_thresh	100_bp_thresh	200_bp_thresh
1	-	ENSG00000227232	BambuTx3	14362	15036	2	674	533	NOVEL	NOVEL	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED
1	-	ENSG00000279457	BambuTx2	14400	195419	10	181019	1691	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000227232	BambuTx4	14400	24894	10	10494	1674	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000227232	BambuTx1	14404	16072	3	1668	769	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000227232	BambuTx5	16442	29351	4	12909	696	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	BambuGene1333	BambuTx6	21299	26980	2	5681	1580	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000268903	BambuTx11299	134920	137676	2	2756	1309	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000241860	BambuTx27087	167117	181249	6	14132	1196	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000241860	BambuTx7	177301	181130	3	3829	425	NOVEL	NOVEL	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED
1	-	ENSG00000279457	BambuTx8	184916	199872	11	14956	1728	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000279457	BambuTx9	184920	199874	11	14954	1713	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	BambuGene1	BambuTx11300	267542	357175	2	89633	1160	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000228463	BambuTx11301	296182	532459	6	236277	2041	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000230021	BambuTx10	631071	632690	2	1619	323	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000230021	BambuTx11	631832	632690	2	858	239	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000228327	BambuTx27088	716362	778660	8	62298	3277	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000228327	BambuTx27089	729661	736448	7	6787	930	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	ENSG00000237491	BambuTx18503	778798	781591	2	2793	1584	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	ENSG00000237491	BambuTx11302	778857	808954	4	30097	3347	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000230092	BambuTx11303	816482	827522	2	11040	1754	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	ANNOTATED	ANNOTATED
1	+	ENSG00000228794	BambuTx27090	827629	854411	6	26782	1495	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	ANNOTATED
1	+	ENSG00000228794	BambuTx11304	853931	865841	4	11910	2150	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	ENSG00000288531	BambuTx11305	856551	865841	3	9290	858	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	ENSG00000272438	BambuTx11306	904804	905751	2	947	613	NOVEL	NOVEL	NOVEL	NOVEL	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED
1	+	ENSG00000217801	BambuTx11307	1059042	1060397	2	1355	206	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	BambuGene1335	BambuTx11308	1065635	1068593	2	2958	230	NOVEL	NOVEL	NOVEL	NOVEL	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED
1	+	BambuGene3	BambuTx27091	1070062	1072933	2	2871	351	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
