gene.51	tx.2	chr1:16245735-16247595
gene.64	tx.6	chr1:26268774-26270140
gene.66	tx.7	chr1:27231889-27233743
gene.5	tx.11	chr1:31007199-31007976
gene.72	tx.12	chr1:38167408-38300289
gene.72	tx.13	chr1:38167408-38300320
gene.13	tx.23	chr1:77862296-77863997
gene.17	tx.26	chr1:120334901-120336836
gene.22	tx.39	chr1:149753837-149759779
gene.31	tx.41	chr1:154007468-154010460
gene.79	tx.46	chr1:161794715-161832275
gene.81	tx.47	chr1:175875912-175907502
gene.94	tx.53	chr1:204819539-204833822
gene.102	tx.56	chr1:210503378-210505309
gene.37	tx.58	chr1:223623753-223710822
gene.105	tx.60	chr1:230181846-230187587
gene.42	tx.66	chr1:246706576-246719608
gene.42	tx.67	chr1:246706575-246719608
gene.119	tx.84	chr2:61799577-61804796
gene.125	tx.93	chr2:91752692-91756493
gene.178	tx.94	chr2:98630427-98634337
gene.178	tx.95	chr2:98630427-98634503
gene.136	tx.96	chr2:102075198-102082766
gene.185	tx.104	chr2:119714686-119716307
gene.188	tx.105	chr2:120157246-120193844
gene.193	tx.110	chr2:153100945-153102389
gene.195	tx.111	chr2:165751335-165753268
gene.153	tx.113	chr2:175288147-175336308
gene.197	tx.120	chr2:203013644-203037175
gene.197	tx.121	chr2:203034011-203037177
gene.244	tx.126	chr3:2091485-2092562
gene.252	tx.134	chr3:35639358-35640647
gene.222	tx.142	chr3:46011738-46017127
gene.222	tx.143	chr3:46011751-46017127
gene.237	tx.160	chr3:131928955-131941197
gene.277	tx.175	chr4:17464779-17467542
gene.279	tx.176	chr4:22708168-22708552
gene.292	tx.183	chr4:80495548-80497541
gene.292	tx.184	chr4:80495548-80496517
gene.272	tx.197	chr4:189834257-189837658
gene.304	tx.200	chr5:24750070-24750707
gene.332	tx.205	chr5:72679720-72687282
gene.306	tx.212	chr5:113062662-113064001
gene.313	tx.220	chr5:158094251-158095637
gene.345	tx.222	chr5:162337156-162379506
gene.316	tx.225	chr5:164101947-164266752
gene.318	tx.226	chr5:174504523-174505895
gene.324	tx.228	chr5:178002662-178003592
gene.351	tx.237	chr6:3324738-3338104
gene.356	tx.239	chr6:17204392-17231356
